category;name;shortname;relevant;subcategory;price;availability;link
platform;"RS300-E9-RS4 (1U, 1xLGA1151, 4xDDR4 ECC, 4x3,5"" HotSwap, 2x2,5"" SSD, 2xM,2, Intel SW Raid 0/1/5/10, DVD-RW, VGA, 4xGbE, 2x450W Gold HotSwap)";RS300-E9-RS4;RS300;"Стоечные однопроцессорные платформы (19"")";840;7;https://www.asus.com/us/Commercial-Servers-Workstations/RS300-E9-RS4/
platform;"RS300-E9-PS4 (1U, 1xLGA1151, 4xDDR4 ECC, 4x3,5"" HotSwap, 2x2,5"" SSD, 2xM,2, Intel SW Raid 0/1/5/10, DVD-RW, VGA, 4xGbE, 400W Gold)";RS300-E9-PS4;RS300;"Стоечные однопроцессорные платформы (19"")";620;30;https://www.asus.com/us/Commercial-Servers-Workstations/RS300-E9-PS4/
platform;"RS200-E9-PS2-F (1U, 1xLGA1151, 4xDDR4 ECC, 2x2,5"" HotSwap, 2x2,5"" SSD, 2xM,2, Intel SW Raid 0/1/5/10, VGA, 4xGbE, 250W Bronze, Front interfaces, 383mm dpt)";RS200-E9-RS2-F;RS200;"Стоечные однопроцессорные платформы (19"")";570;7;https://www.asus.com/Commercial-Servers-Workstations/RS200-E9-PS2-F/
platform;"RS100-E9-PI2 (1U, 1xLGA1151, 4xDDR4 ECC, 2x3,5""/4x2,5"" SATA, 2xM,2, Intel SW Raid 0/1/5/10, DVD-RW, VGA, 2xGbE, 250W Bronze, 380mm dpt)";RS100-E9-PI2;RS100;"Стоечные однопроцессорные платформы (19"")";440;7;https://www.asus.com/us/Commercial-Servers-Workstations/RS100-E9-PI2/
platform;"RS720-E8-RS24-E (2U, 2xLGA2011, 16xDDR4 RDIMM, 24+2x2,5"" HotSwap, PIKE 2208/1Gb, 4xGbE, iKVM, 2x770W Gold HotSwap)";RS720-E8-RS24-E;RS720;"Стоечные двухпроцессорные платформы (19"")";2220;7;https://www.asus.com/ru/Commercial-Servers-Workstations/RS720E8RS24E/
platform;"RS700-E8-RS8 V2 (1U, 2xLGA2011, 24xDDR4 RDIMM, 8*2,5"" HotSwap, Intel SW Raid 0/1/5/10, DVD-RW, 2xGbE, iKVM, 2x800W Platinum HotSwap)";RS700-E8-RS8 V2;RS700;"Стоечные двухпроцессорные платформы (19"")";1350;30;https://www.asus.com/us/Commercial-Servers-Workstations/RS700-E8-RS8-V2/
platform;"RS540-E8-RS36-ECP (4U, 2xLGA2011, 16xDDR4 RDIMM, 36x3,5""+2x2,5"" HotSwap, PIKE 3108/240PD/2Gb, 2xGbE, iKVM, 2x800W Platinum HotSwap)";RS540-E8-RS36-ECP;RS540;"Стоечные двухпроцессорные платформы (19"")";2200;7;https://www.asus.com/ru/Commercial-Servers-Workstations/RS540-E8-RS36-ECP/
platform;"RS520-E8-RS8 V2 (2U, 2xLGA2011, 16xDDR4 RDIMM, 8x3,5"" HotSwap, Intel SW Raid 0/1/5/10, DVD-RW, 2xGbE, iKVM, 2x770W Gold HotSwap)";RS520-E8-RS8 V2;RS520;"Стоечные двухпроцессорные платформы (19"")";1270;7;https://www.asus.com/ru/Commercial-Servers-Workstations/RS520E8RS8-V2/overview/
platform;"RS520-E8-RS12-E V2 (2U, 16xDDR4 RDIMM, 12x3,5""+2x2,5"" HotSwap, no raid (Intel raid only for 2x2,5"" SSD/HDD), 2xGbE, iKVM, 2x770W Gold HotSwap)";RS520-E8-RS12-E V2;RS520;"Стоечные двухпроцессорные платформы (19"")";1400;30;https://www.asus.com/ru/Commercial-Servers-Workstations/RS520E8RS12E-V2/
platform;"RS500-E8-RS4 V2 (1U, 2xLGA2011, 16xDDR4 RDIMM, 4x3,5"" HotSwap, Intel SW Raid 0/1/5/10, DVD-RW, 2xGbE, iKVM, 2x770W Platinum HotSwap)";RS500-E8-RS4 V2;RS500;"Стоечные двухпроцессорные платформы (19"")";1070;7;https://www.asus.com/Commercial-Servers-Workstations/RS500E8RS4-V2/
